State,Year,Sex,Spec_Nd,Age_Bin,Race,Adopted,Numbers
Alabama,2008,boy,specYes,under9,hispanic,notAdopted,0

Alabama,2008,boy,specYes,under9,hispanic,adopted,3613

Alabama,2008,boy,specYes,under9,other,notAdopted,1

Alabama,2008,boy,specYes,under9,other,adopted,1922

Alabama,2008,boy,specYes,over9,white,notAdopted,3

Alabama,2008,boy,specYes,over9,white,adopted,2439

Alabama,2008,boy,specYes,over9,black,notAdopted,8

Alabama,2008,boy,specYes,over9,black,adopted,1737

Alabama,2008,boy,specYes,over9,hispanic,notAdopted,0

Alabama,2008,boy,specYes,over9,hispanic,adopted,1137

Alabama,2008,boy,specYes,over9,other,notAdopted,0

Alabama,2008,boy,specYes,over9,other,adopted,626

Alabama,2008,girl,specNo,under9,white,notAdopted,199

Alabama,2008,girl,specNo,under9,white,adopted,1874

Alabama,2008,girl,specNo,under9,black,notAdopted,149

Alabama,2008,girl,specNo,under9,black,adopted,621

Alabama,2008,girl,specNo,under9,hispanic,notAdopted,16

Alabama,2008,girl,specNo,under9,hispanic,adopted,566

Alabama,2008,girl,specNo,under9,other,notAdopted,18

Alabama,2008,girl,specNo,under9,other,adopted,229

Alabama,2008,girl,specNo,over9,white,notAdopted,215

Alabama,2008,girl,specNo,over9,white,adopted,421

Alabama,2008,girl,specNo,over9,black,notAdopted,173

Alabama,2008,girl,specNo,over9,black,adopted,189

Alabama,2008,girl,specNo,over9,hispanic,notAdopted,13

Alabama,2008,girl,specNo,over9,hispanic,adopted,97

Alabama,2008,girl,specNo,over9,other,notAdopted,7

Alabama,2008,girl,specNo,over9,other,adopted,50

Alabama,2008,girl,specYes,under9,white,notAdopted,1

Alabama,2008,girl,specYes,under9,white,adopted,6167

Alabama,2008,girl,specYes,under9,black,notAdopted,1

Alabama,2008,girl,specYes,under9,black,adopted,3923

Alabama,2008,girl,specYes,under9,hispanic,notAdopted,0

Alabama,2008,girl,specYes,under9,hispanic,adopted,3614

Alabama,2008,girl,specYes,under9,other,notAdopted,0

Alabama,2008,girl,specYes,under9,other,adopted,1932

Alabama,2008,girl,specYes,over9,white,notAdopted,1

Alabama,2008,girl,specYes,over9,white,adopted,2649

Alabama,2008,girl,specYes,over9,black,notAdopted,9

Alabama,2008,girl,specYes,over9,black,adopted,1611

Alabama,2008,girl,specYes,over9,hispanic,notAdopted,0

Alabama,2008,girl,specYes,over9,hispanic,adopted,1235

Alabama,2008,girl,specYes,over9,other,notAdopted,0

Alabama,2008,girl,specYes,over9,other,adopted,592

Alabama,2009,boy,specNo,under9,white,notAdopted,158

Alabama,2009,boy,specNo,under9,white,adopted,126

Alabama,2009,boy,specNo,under9,black,notAdopted,119

Alabama,2009,boy,specNo,under9,black,adopted,75

Alabama,2009,boy,specNo,under9,hispanic,notAdopted,24

Alabama,2009,boy,specNo,under9,hispanic,adopted,52

Alabama,2009,boy,specNo,under9,other,notAdopted,19

Alabama,2009,boy,specNo,under9,other,adopted,20

Alabama,2009,boy,specNo,over9,white,notAdopted,198

Alabama,2009,boy,specNo,over9,white,adopted,94

Alabama,2009,boy,specNo,over9,black,notAdopted,213

Alabama,2009,boy,specNo,over9,black,adopted,50

Alabama,2009,boy,specNo,over9,hispanic,notAdopted,17

Alabama,2009,boy,specNo,over9,hispanic,adopted,17

Alabama,2009,boy,specNo,over9,other,notAdopted,18

Alabama,2009,boy,specNo,over9,other,adopted,10

Alabama,2009,boy,specYes,under9,white,notAdopted,3

Alabama,2009,boy,specYes,under9,white,adopted,103

Alabama,2009,boy,specYes,under9,black,notAdopted,7

Alabama,2009,boy,specYes,under9,black,adopted,109

Alabama,2009,boy,specYes,under9,hispanic,notAdopted,0

Alabama,2009,boy,specYes,under9,hispanic,adopted,56

Alabama,2009,boy,specYes,under9,other,notAdopted,0

Alabama,2009,boy,specYes,under9,other,adopted,50

Alabama,2009,boy,specYes,over9,white,notAdopted,13

Alabama,2009,boy,specYes,over9,white,adopted,41

Alabama,2009,boy,specYes,over9,black,notAdopted,6

Alabama,2009,boy,specYes,over9,black,adopted,40

Alabama,2009,boy,specYes,over9,hispanic,notAdopted,0

Alabama,2009,boy,specYes,over9,hispanic,adopted,24

Alabama,2009,boy,specYes,over9,other,notAdopted,0

Alabama,2009,boy,specYes,over9,other,adopted,26

Alabama,2009,girl,specNo,under9,white,notAdopted,135

Alabama,2009,girl,specNo,under9,white,adopted,125

Alabama,2009,girl,specNo,under9,black,notAdopted,97

Alabama,2009,girl,specNo,under9,black,adopted,83

Alabama,2009,girl,specNo,under9,hispanic,notAdopted,26

Alabama,2009,girl,specNo,under9,hispanic,adopted,58

Alabama,2009,girl,specNo,under9,other,notAdopted,17

Alabama,2009,girl,specNo,under9,other,adopted,21

Alabama,2009,girl,specNo,over9,white,notAdopted,201

Alabama,2009,girl,specNo,over9,white,adopted,79

Alabama,2009,girl,specNo,over9,black,notAdopted,136

Alabama,2009,girl,specNo,over9,black,adopted,46

Alabama,2009,girl,specNo,over9,hispanic,notAdopted,13

Alabama,2009,girl,specNo,over9,hispanic,adopted,21

Alabama,2009,girl,specNo,over9,other,notAdopted,16

Alabama,2009,girl,specNo,over9,other,adopted,7

Alabama,2009,girl,specYes,under9,white,notAdopted,1

Alabama,2009,girl,specYes,under9,white,adopted,103

Alabama,2009,girl,specYes,under9,black,notAdopted,10

Alabama,2009,girl,specYes,under9,black,adopted,72

Alabama,2009,girl,specYes,under9,hispanic,notAdopted,0

Alabama,2009,girl,specYes,under9,hispanic,adopted,62

Alabama,2009,girl,specYes,under9,other,notAdopted,2

Alabama,2009,girl,specYes,under9,other,adopted,59

Alabama,2009,girl,specYes,over9,white,notAdopted,12

Alabama,2009,girl,specYes,over9,white,adopted,34

Alabama,2009,girl,specYes,over9,black,notAdopted,13

Alabama,2009,girl,specYes,over9,black,adopted,31

Alabama,2009,girl,specYes,over9,hispanic,notAdopted,0

Alabama,2009,girl,specYes,over9,hispanic,adopted,26

Alabama,2009,girl,specYes,over9,other,notAdopted,1

Alabama,2009,girl,specYes,over9,other,adopted,20

Alabama,2010,boy,specNo,under9,white,notAdopted,141

Alabama,2010,boy,specNo,under9,white,adopted,85

Alabama,2010,boy,specNo,under9,black,notAdopted,104

Alabama,2010,boy,specNo,under9,black,adopted,50

Alabama,2010,boy,specNo,under9,hispanic,notAdopted,15

Alabama,2010,boy,specNo,under9,hispanic,adopted,16

Alabama,2010,boy,specNo,under9,other,notAdopted,26

Alabama,2010,boy,specNo,under9,other,adopted,14

Alabama,2010,boy,specNo,over9,white,notAdopted,187

Alabama,2010,boy,specNo,over9,white,adopted,65

Alabama,2010,boy,specNo,over9,black,notAdopted,183

Alabama,2010,boy,specNo,over9,black,adopted,39

Alabama,2010,boy,specNo,over9,hispanic,notAdopted,14

Alabama,2010,boy,specNo,over9,hispanic,adopted,9

